fips,year,n02
5051,1997,11.551523
5051,2002,10.903646
5051,2007,7.9362311
5051,2012,7.4974017
5053,1997,12.012858
5053,2002,12.60183
5053,2007,8.707902
5053,2012,8.2657127
5055,1997,14.141212
5055,2002,14.275064
5055,2007,9.713871
5055,2012,9.1226101
5057,1997,10.848995
5057,2002,8.209692
5057,2007,6.3389912
5057,2012,5.7087402
5059,1997,12.135108
5059,2002,11.655329
5059,2007,7.9922404
5059,2012,7.7096272
5061,1997,10.772243
5061,2002,8.4749613
5061,2007,6.8716512
5061,2012,6.0758786
5063,1997,13.070674
5063,2002,12.015945
5063,2007,8.7368498
5063,2012,8.3128262
5065,1997,12.948922
5065,2002,12.418166
5065,2007,8.9236498
5065,2012,8.4406385
5067,1997,13.459928
5067,2002,14.108699
5067,2007,9.6764488
5067,2012,8.4159079
5069,1997,12.535964
5069,2002,14.349198
5069,2007,9.2439661
5069,2012,8.522377
5071,1997,11.20764
5071,2002,9.4213266
5071,2007,7.2826643
5071,2012,6.8375478
5073,1997,11.733659
5073,2002,7.6515136
5073,2007,6.1312962
5073,2012,5.4362483
5075,1997,13.747892
5075,2002,13.717884
5075,2007,9.7145157
5075,2012,9.0617313
5077,1997,15.433333
5077,2002,16.973635
5077,2007,10.837765
5077,2012,9.3440685
5079,1997,12.864542
5079,2002,14.032774
5079,2007,9.4756985
5079,2012,8.6599989
5081,1997,11.416224
5081,2002,8.5002632
5081,2007,7.3293228
5081,2012,6.0002785
5083,1997,9.7008648
5083,2002,8.9130735
5083,2007,6.9234791
5083,2012,6.7965202
5085,1997,11.990111
5085,2002,14.268495
5085,2007,9.5891647
5085,2012,9.1837387
5087,1997,9.8215809
5087,2002,8.3939333
5087,2007,6.9821157
5087,2012,6.4351282
5089,1997,11.024179
5089,2002,9.9309635
5089,2007,7.8578887
5089,2012,7.1678405
5091,1997,11.967728
5091,2002,7.8280253
5091,2007,6.74015
5091,2012,5.5552197
5093,1997,14.849367
5093,2002,15.439326
5093,2007,10.921169
5093,2012,9.3332157
5095,1997,14.429903
5095,2002,17.301702
5095,2007,10.98081
5095,2012,9.6811485
5097,1997,9.7421827
5097,2002,8.7660828
5097,2007,6.7904992
5097,2012,6.4151516
5099,1997,9.7389984
5099,2002,7.5028172
5099,2007,5.8412976
5099,2012,5.5603304
5101,1997,11.44899
5101,2002,9.7517939
5101,2007,7.7465863
5101,2012,7.0651288
5103,1997,15.524037
5103,2002,9.622941
5103,2007,6.7280893
5103,2012,6.2025871
5105,1997,11.530379
5105,2002,11.459846
5105,2007,8.6483898
5105,2012,8.3318281
5107,1997,14.574825
5107,2002,17.802494
5107,2007,11.035401
5107,2012,9.960824
5109,1997,9.5129452
5109,2002,8.0656328
5109,2007,6.1522551
5109,2012,5.993897
5111,1997,15.257328
5111,2002,15.11294
5111,2007,9.9540987
5111,2012,9.1216135
5113,1997,11.037993
5113,2002,9.0696297
5113,2007,7.2130847
5113,2012,6.4200797
5115,1997,11.49831
5115,2002,10.565829
5115,2007,8.1413031
5115,2012,7.7455058
5117,1997,13.21841
5117,2002,16.026943
5117,2007,10.208129
5117,2012,9.1729412
5119,1997,11.016541
5119,2002,15.262832
5119,2007,10.641129
5119,2012,10.455341
5121,1997,13.476324
5121,2002,13.484079
5121,2007,9.5809727
5121,2012,9.1997175
5123,1997,15.865273
5123,2002,16.268522
5123,2007,10.228243
5123,2012,9.296052
5125,1997,12.186947
5125,2002,12.965655
5125,2007,8.9848881
5125,2012,8.648694
5127,1997,10.314833
5127,2002,8.8067951
5127,2007,6.8099899
5127,2012,6.4365883
5129,1997,11.522252
5129,2002,9.9934072
5129,2007,7.6969075
5129,2012,7.4341331
5131,1997,10.174334
5131,2002,8.5576897
5131,2007,6.4278092
5131,2012,6.6219192
5133,1997,11.230512
5133,2002,8.7420835
5133,2007,7.4415298
5133,2012,6.1407776
5135,1997,13.611013
5135,2002,12.783134
5135,2007,9.0861349
5135,2012,8.491456
5137,1997,12.968227
5137,2002,11.408936
5137,2007,8.2715311
5137,2012,8.3687172
5139,1997,9.7092924
5139,2002,8.6819773
5139,2007,6.770072
5139,2012,5.9895153
5141,1997,12.024882
5141,2002,11.71684
5141,2007,8.4380913
5141,2012,8.526988
5143,1997,10.249846
5143,2002,8.6014585
5143,2007,6.8533378
5143,2012,6.2425089
5145,1997,12.691646
5145,2002,14.131605
5145,2007,9.0988083
5145,2012,9.0164766
5147,1997,13.545624
5147,2002,14.621388
5147,2007,9.9068384
5147,2012,8.6337461
5149,1997,11.334069
5149,2002,10.078732
5149,2007,7.8188481
5149,2012,7.3726549
6001,1997,15.530215
6001,2002,15.227283
6001,2007,11.767178
6001,2012,10.099384
6003,1997,13.859518
6003,2002,12.297094
6003,2007,11.410398
6003,2012,9.3127785
6005,1997,13.995527
6005,2002,13.643143
6005,2007,11.214259
6005,2012,8.9626598
6007,1997,13.518355
6007,2002,13.264788
6007,2007,10.818767
6007,2012,8.6673269
6009,1997,14.384289
6009,2002,13.725438
6009,2007,11.139054
6009,2012,9.0404263
6011,1997,13.542199
6011,2002,13.514855
6011,2007,10.887675
6011,2012,8.802331
6013,1997,15.174567
6013,2002,14.43684
6013,2007,10.959234
6013,2012,9.1708956
6015,1997,10.738405
6015,2002,9.5450344
6015,2007,6.7916207
6015,2012,2.7659137
6017,1997,13.804943
6017,2002,13.238722
6017,2007,11.328657
6017,2012,9.0606213
6019,1997,14.718552
6019,2002,14.38391
6019,2007,11.965816
6019,2012,9.4404087
6021,1997,13.474256
6021,2002,13.28159
6021,2007,10.717963
6021,2012,8.6882944
6023,1997,11.831001
6023,2002,12.234498
6023,2007,7.5453658
6023,2012,3.183038
6025,1997,18.475193
6025,2002,17.481688
6025,2007,14.954756
6025,2012,12.501532
6027,1997,16.263638
6027,2002,14.865534
6027,2007,13.318575
6027,2012,10.859853
6029,1997,13.854996
6029,2002,14.495182
6029,2007,12.398511
6029,2012,10.054479
6031,1997,13.961555
6031,2002,14.002474
6031,2007,11.691648
6031,2012,9.356101
6033,1997,13.389456
6033,2002,13.199484
6033,2007,10.537171
6033,2012,8.8380566
6035,1997,12.387122
6035,2002,12.304845
6035,2007,10.901731
6035,2012,8.2209826
6037,1997,27.772255
6037,2002,25.305056
6037,2007,21.97348
6037,2012,15.518533
6039,1997,13.912403
6039,2002,13.482548
6039,2007,11.027699
6039,2012,8.8482513
6041,1997,15.276207
6041,2002,15.114515
6041,2007,12.004036
6041,2012,10.074788
6043,1997,14.777503
6043,2002,13.726968
6043,2007,10.806138
6043,2012,9.1456842
6045,1997,11.747909
6045,2002,11.009381
6045,2007,9.452014
6045,2012,8.6952915
6047,1997,14.017706
6047,2002,13.594115
6047,2007,10.683115
6047,2012,8.7031794
6049,1997,12.190056
6049,2002,11.002081
6049,2007,11.182091
6049,2012,7.5542006
6051,1997,14.852758
6051,2002,14.013066
6051,2007,11.50859
6051,2012,9.5980949
6053,1997,12.749464
6053,2002,12.162768
6053,2007,9.9180689
6053,2012,8.086607
6055,1997,13.650619
6055,2002,13.71047
6055,2007,10.780389
6055,2012,8.8463726
6057,1997,13.758161
6057,2002,13.429346
6057,2007,11.404778
6057,2012,9.1482162
6059,1997,18.610628
6059,2002,18.965687
6059,2007,15.864533
6059,2012,12.338602
6061,1997,13.652268
6061,2002,13.556904
6061,2007,11.295219
6061,2012,8.9404945
6063,1997,13.769127
6063,2002,13.453986
6063,2007,11.328176
6063,2012,8.9241619
6065,1997,18.195988
6065,2002,18.680956
6065,2007,16.02243
6065,2012,11.858056
6067,1997,13.693639
6067,2002,14.751996
6067,2007,11.813294
6067,2012,9.050745
6069,1997,13.220484
6069,2002,12.599955
6069,2007,10.170311
6069,2012,8.3004398
6071,1997,17.795809
6071,2002,18.608616
6071,2007,16.207632
6071,2012,12.616314
6073,1997,19.375957
6073,2002,18.911818
6073,2007,15.515217
6073,2012,12.032838
6075,1997,16.983955
6075,2002,15.996473
6075,2007,12.963644
6075,2012,10.986598
6077,1997,14.327147
6077,2002,13.925034
6077,2007,10.970243
6077,2012,8.725071
6079,1997,11.779067
6079,2002,10.994087
6079,2007,9.3308201
6079,2012,7.3020644
6081,1997,15.861357
6081,2002,15.020068
6081,2007,11.801758
6081,2012,10.047832
6083,1997,8.5822134
6083,2002,9.6569138
6083,2007,8.0469322
6083,2012,6.1131673
6085,1997,18.503426
6085,2002,15.748679
6085,2007,12.804893
6085,2012,10.329957
6087,1997,14.055505
6087,2002,12.904692
6087,2007,10.314143
6087,2012,9.0097208
6089,1997,12.55499
6089,2002,12.507658
6089,2007,10.552184
6089,2012,8.0998154
6091,1997,13.751726
6091,2002,13.317745
6091,2007,11.650661
6091,2012,9.3922176
6093,1997,11.633409
6093,2002,10.914842
6093,2007,8.2080631
6093,2012,4.5786242
6095,1997,14.070218
6095,2002,13.973323
6095,2007,10.909498
6095,2012,9.1299887
6097,1997,13.74296
6097,2002,13.590213
6097,2007,10.830691
6097,2012,8.9071817
6099,1997,17.035141
6099,2002,15.252378
6099,2007,11.227977
6099,2012,9.1437511
6101,1997,13.734308
6101,2002,14.121865
6101,2007,11.516172
6101,2012,9.0358171
6103,1997,13.690829
6103,2002,13.466455
6103,2007,10.979578
6103,2012,8.5997114
6105,1997,12.504824
6105,2002,12.791756
6105,2007,10.172737
6105,2012,7.11274
6107,1997,14.813215
6107,2002,14.877523
6107,2007,12.428207
6107,2012,9.9706783
6109,1997,14.703253
6109,2002,13.839953
6109,2007,11.202407
6109,2012,9.2336321
6111,1997,13.817789
6111,2002,13.65889
6111,2007,12.455488
6111,2012,9.4241724
6113,1997,13.274181
6113,2002,13.95306
6113,2007,11.046489
6113,2012,8.7488861
6115,1997,13.737646
6115,2002,13.855992
6115,2007,11.352942
6115,2012,8.9380274
8001,1997,18.019054
8001,2002,26.911894
8001,2007,22.629766
8001,2012,19.690935
8003,1997,13.276062
8003,2002,17.94734
8003,2007,11.435908
8003,2012,9.7396078
8005,1997,17.899347
8005,2002,29.918949
8005,2007,24.116436
8005,2012,20.184673
8007,1997,9.7335405
8007,2002,11.782185
8007,2007,7.6374307
8007,2012,5.4825611
8009,1997,15.605941
8011,1997,15.219024
8011,2002,29.098293
8011,2007,23.868504
8011,2012,21.951927
8013,1997,12.437505
8013,2002,28.527826
8013,2007,22.215773
8013,2012,16.296549
8015,1997,14.087149
8015,2002,21.071779
8015,2007,13.920384
8015,2012,8.6620884
8017,1997,15.278073
8017,2002,29.057178
8017,2007,23.846941
8017,2012,21.933422
8019,1997,13.7781
8019,2002,29.28001
8019,2007,20.518167
8019,2012,13.12322
8021,1997,12.784652
8021,2002,16.950083
8021,2007,10.846753
8021,2012,9.0662327
8023,1997,13.342997
8023,2002,18.07625
8023,2007,11.589515
8023,2012,9.9796934
8025,1997,15.172678
8025,2002,29.135262
8025,2007,23.88789
8025,2012,21.968565
8027,1997,14.122012
8027,2002,20.457127
8027,2007,13.438209
8027,2012,9.7042446
8029,1997,12.884949
8029,2002,17.814026
8029,2007,10.98899
8029,2012,5.612431
8031,1997,23.450397
8031,2002,32.370499
8031,2007,25.529411
8031,2012,22.767679
8033,1997,7.0180206
8033,2002,10.680309
8033,2007,8.2452793
8033,2012,5.2061753
8035,1997,16.452023
8035,2002,29.719149
8035,2007,23.876846
8035,2012,18.701597
8037,1997,13.907749
8037,2002,23.818951
8037,2007,13.572529
8037,2012,6.7962904
8039,1997,15.902342
8039,2002,29.194647
8039,2007,23.919033
8039,2012,17.82815
8041,1997,17.519539
8041,2002,29.000235
8041,2007,19.090309
8041,2012,13.937137
8043,1997,14.518687
8043,2002,21.769985
8043,2007,14.586683
8043,2012,10.584083
8045,1997,13.408665
8045,2002,20.004152
8045,2007,12.033929
8045,2012,4.8541737
8047,1997,12.821079
8047,2002,29.168995
8047,2007,22.161272
8047,2012,14.669523
8049,1997,14.075818
8049,2002,29.034544
8049,2007,19.971542
8049,2012,9.1570358
8051,1997,13.224898
8051,2002,18.635935
8051,2007,11.779727
8051,2012,6.774045
8053,1997,11.83989
8053,2002,15.482592
8053,2007,9.5001144
8053,2012,6.6509504
8055,1997,13.833229
8055,2002,19.371222
8055,2007,12.469231
8055,2012,11.001517
8057,1997,14.388699
8057,2002,28.961821
8057,2007,16.222134
8057,2012,5.1454101
8059,1997,15.54139
8059,2002,30.238367
8059,2007,24.302967
8059,2012,20.069464
8061,1997,15.254497
8061,2002,29.0749
8061,2007,23.856236
8061,2012,21.941399
8063,1997,15.297605
8063,2002,29.027416
8063,2007,23.831333
8063,2012,21.920029
8065,1997,14.005124
8065,2002,22.465609
8065,2007,14.224461
8065,2012,8.222846
8067,1997,7.9729095
8067,2002,10.380913
8067,2007,7.4868455
8067,2012,5.3848324
8069,1997,14.216367
8069,2002,28.747711
8069,2007,20.576199
8069,2012,11.432394
8071,1997,13.984226
8071,2002,20.580755
8071,2007,12.080462
8071,2012,10.873571
8073,1997,15.482425
8073,2002,29.088699
8073,2007,23.863472
8073,2012,19.23517
8075,1997,15.143873
8075,2002,28.915615
8075,2007,23.772703
8075,2012,18.09042
8077,1997,13.701233
8077,2002,19.431026
8077,2007,12.027287
8077,2012,5.3044691
8079,1997,12.083177
8079,2002,15.882718
8079,2007,9.7358408
8079,2012,6.8920784
8081,1997,17.543785
8081,2002,25.238134
8081,2007,12.071079
8081,2012,4.2297583
8083,1997,8.424943
8083,2002,11.657035
8083,2007,8.9806004
8083,2012,5.9813118
8085,1997,12.347977
8085,2002,16.327663
8085,2007,10.74076
8085,2012,5.9458513
8087,1997,15.277439
8087,2002,28.850706
8087,2007,23.738663
8087,2012,18.830267
8089,1997,15.165952
8089,2002,29.126995
8089,2007,23.883554
8089,2012,21.964844
8091,1997,12.018595
8091,2002,15.638244
8091,2007,10.07239
8091,2012,6.4093857
8093,1997,14.660737
8093,2002,25.52298
8093,2007,16.70508
8093,2012,10.25352
8095,1997,15.156992
8095,2002,28.956694
8095,2007,23.794245
8095,2012,21.888199
8097,1997,13.657222
8097,2002,20.916529
8097,2007,12.882048
8097,2012,6.8014097
8099,1997,15.21497
8099,2002,29.07728
8099,2007,23.857485
8099,2012,21.942471
8101,1997,14.292432
8101,2002,23.51512
8101,2007,14.529798
8101,2012,12.461721
8103,1997,17.544287
8103,2002,25.247013
8103,2007,13.754052
8103,2012,4.0226469
8105,1997,12.853112
8105,2002,17.145916
8105,2007,10.78945
8105,2012,8.3937922
8107,1997,14.559001
8107,2002,29.023136
8107,2007,14.178
8107,2012,4.6479526
8109,1997,13.236806
8109,2002,18.54509
8109,2007,11.619414
8109,2012,7.6755176
8111,1997,10.945398
8111,2002,14.368688
8111,2007,8.8022413
8111,2012,6.0318117
8113,1997,6.9487443
8113,2002,10.660581
8113,2007,8.0657816
8113,2012,4.9631634
8115,1997,15.912238
8115,2002,28.953808
8115,2007,23.792732
8115,2012,21.494707
8117,1997,14.017117
8117,2002,25.486858
8117,2007,16.301657
8117,2012,9.1988707
8119,1997,15.760181
8119,2002,25.521341
8119,2007,17.024847
8119,2012,12.610479
8121,1997,15.292948
8121,2002,28.945406
8121,2007,23.788326
8121,2012,18.742077
8123,1997,14.748284
8123,2002,28.585186
8123,2007,21.431702
8123,2012,14.311293
8125,1997,15.23738
8125,2002,28.978195
8125,2007,23.805521
8125,2012,21.897877
9001,1997,21.472565
9001,2002,20.282425
9001,2007,15.503144
9001,2012,10.849299
9003,1997,18.484068
9003,2002,17.984421
9003,2007,12.997939
9003,2012,9.6713686
9005,1997,19.760153
9005,2002,18.810631
9005,2007,13.504251
9005,2012,8.3088131
9007,1997,19.721243
9007,2002,18.846689
9007,2007,14.098212
9007,2012,10.481316
9009,1997,21.102524
9009,2002,20.122259
9009,2007,15.116901
9009,2012,11.199093
9011,1997,19.02486
9011,2002,17.995646
9011,2007,13.648071
9011,2012,10.15491
9013,1997,17.520817
9013,2002,17.495956
9013,2007,12.941356
9013,2012,9.8296614
9015,1997,17.900694
9015,2002,17.091089
9015,2007,12.880328
9015,2012,9.6732225
10001,1997,20.186426
10001,2002,18.652412
10001,2007,14.422156
10001,2012,10.735639
10003,1997,19.843977
10003,2002,18.855766
10003,2007,14.830822
10003,2012,11.220057
10005,1997,20.367786
10005,2002,18.894697
10005,2007,14.523192
10005,2012,10.31405
11001,1997,18.817282
11001,2002,21.776091
11001,2007,16.083406
11001,2012,13.3127
12001,1997,10.365598
12001,2002,9.0414381
12001,2007,6.4150257
12001,2012,5.0155964
12003,1997,10.363918
12003,2002,9.4344921
12003,2007,6.4061494
12003,2012,5.0162325
12005,1997,8.6421862
12005,2002,7.8650618
12005,2007,5.5844049
12005,2012,4.02318
12007,1997,10.418451
12007,2002,8.8983707
12007,2007,6.4139247
12007,2012,5.0302691
12009,1997,10.448366
12009,2002,9.5052195
12009,2007,6.422359
12009,2012,4.7435575
12011,1997,9.0939159
12011,2002,8.2661257
12011,2007,6.1169138
12011,2012,4.6034436
12013,1997,8.6421862
12013,2002,7.8650618
12013,2007,5.5946674
12013,2012,4.02318
12015,1997,9.5818834
12015,2002,8.2102222
12015,2007,6.1829753
12015,2012,4.5445528
12017,1997,10.200638
12017,2002,9.0052547
12017,2007,6.4165363
12017,2012,4.9724622
12019,1997,10.484976
12019,2002,9.1057491
12019,2007,6.4162188
12019,2012,5.0477977
12021,1997,9.5704794
12021,2002,8.743824
12021,2007,6.2322607
12021,2012,4.40134
12023,1997,10.295492
12023,2002,8.8029785
12023,2007,6.4042783
12023,2012,4.9964204
12027,1997,9.6120138
12027,2002,8.4021406
12027,2007,6.215611
12027,2012,4.570951
12029,1997,10.169166
12029,2002,8.7521849
12029,2007,6.4080777
12029,2012,4.9558568
12031,1997,10.455815
12031,2002,10.141567
12031,2007,6.7698121
12031,2012,5.0413022
12033,1997,13.93033
12033,2002,7.8775702
12033,2007,5.5266609
12033,2012,5.3715205
12035,1997,10.792148
12035,2002,9.3073864
12035,2007,6.4445791
12035,2012,5.1176038
12037,1997,10.550529
12037,2002,9.700016
12037,2007,6.8749585
12037,2012,4.5887237
12039,1997,8.6421862
12039,2002,7.8650618
12039,2007,5.410254
