year,disaster,fips,disaster_dct,disaster_dc,disaster_dt,disaster_d,category,disaster_ct
2002,Flood,17087,4,52,1773,32593,top10,19
2002,Drought,17087,2,25,1978,37442,top10,19
2002,Flash Flood,17087,1,11,3234,52939,top10,19
2002,Hail,17087,4,62,12540,209891,top2,19
2002,Thunderstorm Wind,17087,1,55,12004,216417,top2,19
2002,Heat,17087,1,29,1315,15700,top20,19
2002,Heavy Snow,17087,1,8,3126,41887,top10,19
2007,Hail,17087,4,62,12711,209891,top2,26
2007,Heavy Rain,17087,1,4,874,13299,top20,26
2007,Drought,17087,2,25,3616,37442,top10,26
2007,Dense Fog,17087,4,35,776,7754,top20,26
2007,Frost/Freeze,17087,8,25,1851,7678,top20,26
2007,Winter Weather,17087,3,24,3354,26322,top10,26
2007,Thunderstorm Wind,17087,2,55,13015,216417,top2,26
2007,Heat,17087,2,29,464,15700,top20,26
2012,Hail,17087,8,62,13385,209891,top2,36
2012,Strong Wind,17087,1,15,1071,14023,top20,36
2012,Heat,17087,3,29,1632,15700,top20,36
2012,Drought,17087,8,25,7883,37442,top10,36
2012,Dense Fog,17087,8,35,978,7754,top20,36
2012,Frost/Freeze,17087,1,25,1006,7678,top20,36
2012,Winter Storm,17087,2,13,1809,47751,top10,36
2012,Excessive Heat,17087,1,6,1156,5597,top30,36
2012,Thunderstorm Wind,17087,3,55,16238,216417,top2,36
2012,Winter Weather,17087,1,24,2802,26322,top10,36
1997,Dense Fog,17088,2,36,307,7754,top20,11
1997,Ice Storm,17088,1,4,668,8380,top20,11
1997,Flood,17088,2,18,1946,32593,top10,11
1997,High Wind,17088,1,5,2415,44090,top10,11
1997,Frost/Freeze,17088,1,26,159,7678,top20,11
1997,Winter Storm,17088,1,15,3008,47751,top10,11
1997,Heat,17088,2,30,739,15700,top20,11
1997,Cold/Wind Chill,17088,1,3,1579,7587,top20,11
2002,Heat,17088,1,30,1315,15700,top20,8
2002,Drought,17088,2,24,1978,37442,top10,8
2002,Flood,17088,1,18,1773,32593,top10,8
2002,Winter Storm,17088,2,15,3376,47751,top10,8
2002,High Wind,17088,1,5,3228,44090,top10,8
2002,Heavy Snow,17088,1,7,3126,41887,top10,8
2007,Frost/Freeze,17088,8,26,1851,7678,top20,19
2007,Heat,17088,2,30,464,15700,top20,19
2007,Winter Weather,17088,3,25,3354,26322,top10,19
2007,Dense Fog,17088,4,36,776,7754,top20,19
2007,Drought,17088,2,24,3616,37442,top10,19
2012,Dense Fog,17088,9,36,978,7754,top20,26
2012,Winter Storm,17088,2,15,1809,47751,top10,26
2012,Strong Wind,17088,1,17,1071,14023,top20,26
2012,Drought,17088,8,24,7883,37442,top10,26
2012,Heat,17088,3,30,1632,15700,top20,26
2012,Frost/Freeze,17088,1,26,1006,7678,top20,26
2012,Excessive Heat,17088,1,6,1156,5597,top30,26
2012,Winter Weather,17088,1,25,2802,26322,top10,26
1997,Thunderstorm Wind,17089,4,190,9868,216417,top2,14
1997,Dense Fog,17089,2,36,307,7754,top20,14
1997,Lightning,17089,1,14,841,12849,top20,14
1997,Cold/Wind Chill,17089,1,3,1579,7587,top20,14
1997,Heat,17089,2,29,739,15700,top20,14
1997,High Wind,17089,1,5,2415,44090,top10,14
1997,Frost/Freeze,17089,1,26,159,7678,top20,14
1997,Ice Storm,17089,1,4,668,8380,top20,14
1997,Winter Storm,17089,1,14,3008,47751,top10,14
2002,Thunderstorm Wind,17089,4,190,12004,216417,top2,14
2002,Drought,17089,2,24,1978,37442,top10,14
2002,Heat,17089,1,29,1315,15700,top20,14
2002,Flash Flood,17089,2,19,3234,52939,top10,14
2002,Winter Storm,17089,2,14,3376,47751,top10,14
2002,Heavy Snow,17089,1,7,3126,41887,top10,14
2002,Flood,17089,1,20,1773,32593,top10,14
2002,High Wind,17089,1,5,3228,44090,top10,14
2007,Thunderstorm Wind,17089,30,190,13015,216417,top2,65
2007,Winter Weather,17089,3,27,3354,26322,top10,65
2007,Flash Flood,17089,5,19,3688,52939,top10,65
2007,Drought,17089,2,24,3616,37442,top10,65
2007,Dense Fog,17089,4,36,776,7754,top20,65
2007,Frost/Freeze,17089,8,26,1851,7678,top20,65
2007,Heat,17089,2,29,464,15700,top20,65
2007,Flood,17089,4,20,1804,32593,top10,65
2007,Heavy Rain,17089,2,5,874,13299,top20,65
2007,Hail,17089,3,86,12711,209891,top2,65
2007,Funnel Cloud,17089,2,4,340,6056,top30,65
2012,Thunderstorm Wind,17089,15,190,16238,216417,top2,49
2012,Drought,17089,8,24,7883,37442,top10,49
2012,Winter Weather,17089,2,27,2802,26322,top10,49
2012,Strong Wind,17089,1,16,1071,14023,top20,49
2012,Hail,17089,8,86,13385,209891,top2,49
2012,Heat,17089,3,29,1632,15700,top20,49
2012,Winter Storm,17089,1,14,1809,47751,top10,49
2012,Dense Fog,17089,8,36,978,7754,top20,49
2012,Excessive Heat,17089,1,6,1156,5597,top30,49
2012,Lightning,17089,1,14,591,12849,top20,49
2012,Frost/Freeze,17089,1,26,1006,7678,top20,49
1997,Dense Fog,17090,2,35,307,7754,top20,10
1997,High Wind,17090,1,5,2415,44090,top10,10
1997,Heat,17090,2,28,739,15700,top20,10
1997,Winter Storm,17090,1,13,3008,47751,top10,10
1997,Frost/Freeze,17090,1,25,159,7678,top20,10
1997,Flood,17090,1,16,1946,32593,top10,10
1997,Cold/Wind Chill,17090,1,3,1579,7587,top20,10
1997,Ice Storm,17090,1,4,668,8380,top20,10
2002,Flood,17090,3,16,1773,32593,top10,10
2002,High Wind,17090,1,5,3228,44090,top10,10
2002,Drought,17090,2,26,1978,37442,top10,10
2002,Heavy Snow,17090,1,4,3126,41887,top10,10
2002,Winter Storm,17090,2,13,3376,47751,top10,10
2002,Heat,17090,1,28,1315,15700,top20,10
2007,Frost/Freeze,17090,8,25,1851,7678,top20,20
2007,Dense Fog,17090,5,35,776,7754,top20,20
2007,Winter Weather,17090,3,25,3354,26322,top10,20
2007,Drought,17090,2,26,3616,37442,top10,20
2007,Heat,17090,2,28,464,15700,top20,20
2012,Dense Fog,17090,8,35,978,7754,top20,25
2012,Drought,17090,8,26,7883,37442,top10,25
2012,Winter Storm,17090,1,13,1809,47751,top10,25
2012,Heat,17090,3,28,1632,15700,top20,25
2012,Winter Weather,17090,2,25,2802,26322,top10,25
2012,Strong Wind,17090,1,15,1071,14023,top20,25
2012,Frost/Freeze,17090,1,25,1006,7678,top20,25
2012,Excessive Heat,17090,1,6,1156,5597,top30,25
1997,Thunderstorm Wind,17091,4,98,9868,216417,top2,16
1997,Winter Storm,17091,1,12,3008,47751,top10,16
1997,High Wind,17091,1,5,2415,44090,top10,16
1997,Dense Fog,17091,2,28,307,7754,top20,16
1997,Heavy Snow,17091,1,5,2994,41887,top10,16
1997,Flood,17091,1,33,1946,32593,top10,16
1997,Heat,17091,2,28,739,15700,top20,16
1997,Hail,17091,1,63,8612,209891,top2,16
1997,Cold/Wind Chill,17091,1,3,1579,7587,top20,16
1997,Ice Storm,17091,1,4,668,8380,top20,16
1997,Frost/Freeze,17091,1,25,159,7678,top20,16
2002,Winter Storm,17091,2,12,3376,47751,top10,11
2002,Heavy Snow,17091,1,5,3126,41887,top10,11
2002,Flood,17091,4,33,1773,32593,top10,11
2002,Drought,17091,2,26,1978,37442,top10,11
2002,High Wind,17091,1,5,3228,44090,top10,11
2002,Heat,17091,1,28,1315,15700,top20,11
2007,Frost/Freeze,17091,8,25,1851,7678,top20,28
2007,Thunderstorm Wind,17091,6,98,13015,216417,top2,28
2007,Hail,17091,3,63,12711,209891,top2,28
2007,Heat,17091,2,28,464,15700,top20,28
2007,Winter Weather,17091,3,22,3354,26322,top10,28
2007,Dense Fog,17091,3,28,776,7754,top20,28
2007,Tornado,17091,1,16,1238,22750,top10,28
2007,Drought,17091,2,26,3616,37442,top10,28
2012,Drought,17091,8,26,7883,37442,top10,35
2012,Dense Fog,17091,5,28,978,7754,top20,35
2012,Strong Wind,17091,1,15,1071,14023,top20,35
2012,Heat,17091,3,28,1632,15700,top20,35
2012,Hail,17091,7,63,13385,209891,top2,35
2012,Thunderstorm Wind,17091,4,98,16238,216417,top2,35
2012,Winter Weather,17091,2,22,2802,26322,top10,35
2012,Frost/Freeze,17091,1,25,1006,7678,top20,35
2012,Excessive Heat,17091,1,6,1156,5597,top30,35
2012,Winter Storm,17091,1,12,1809,47751,top10,35
2012,Flash Flood,17091,1,14,2304,52939,top10,35
2012,Flood,17091,1,33,992,32593,top10,35
1997,Dense Fog,17092,2,40,307,7754,top20,15
1997,Flood,17092,6,59,1946,32593,top10,15
1997,Heat,17092,2,32,739,15700,top20,15
1997,Winter Storm,17092,1,12,3008,47751,top10,15
1997,Ice Storm,17092,1,4,668,8380,top20,15
1997,Frost/Freeze,17092,1,23,159,7678,top20,15
1997,High Wind,17092,1,6,2415,44090,top10,15
1997,Cold/Wind Chill,17092,1,3,1579,7587,top20,15
2002,Flood,17092,9,59,1773,32593,top10,15
2002,Winter Storm,17092,1,12,3376,47751,top10,15
2002,Drought,17092,2,26,1978,37442,top10,15
2002,Heat,17092,1,32,1315,15700,top20,15
2002,Heavy Snow,17092,1,5,3126,41887,top10,15
2002,High Wind,17092,1,6,3228,44090,top10,15
2007,Frost/Freeze,17092,7,23,1851,7678,top20,18
2007,Heat,17092,2,32,464,15700,top20,18
2007,Strong Wind,17092,1,18,825,14023,top20,18
2007,Dense Fog,17092,5,40,776,7754,top20,18
2007,Winter Weather,17092,1,20,3354,26322,top10,18
2007,Drought,17092,2,26,3616,37442,top10,18
2012,Dense Fog,17092,10,40,978,7754,top20,27
2012,Winter Storm,17092,1,12,1809,47751,top10,27
2012,Drought,17092,8,26,7883,37442,top10,27
2012,Frost/Freeze,17092,1,23,1006,7678,top20,27
2012,Heat,17092,3,32,1632,15700,top20,27
2012,Winter Weather,17092,2,20,2802,26322,top10,27
2012,Excessive Heat,17092,1,6,1156,5597,top30,27
2012,Strong Wind,17092,1,18,1071,14023,top20,27
1997,High Wind,17093,1,5,2415,44090,top10,15
1997,Winter Storm,17093,1,12,3008,47751,top10,15
1997,Cold/Wind Chill,17093,1,3,1579,7587,top20,15
1997,Thunderstorm Wind,17093,2,92,9868,216417,top2,15
1997,Flood,17093,4,45,1946,32593,top10,15
1997,Heat,17093,2,30,739,15700,top20,15
1997,Ice Storm,17093,1,4,668,8380,top20,15
1997,Frost/Freeze,17093,1,23,159,7678,top20,15
1997,Dense Fog,17093,2,39,307,7754,top20,15
2002,Hail,17093,2,34,12540,209891,top2,18
2002,Thunderstorm Wind,17093,1,92,12004,216417,top2,18
2002,Flood,17093,9,45,1773,32593,top10,18
2002,Heat,17093,1,30,1315,15700,top20,18
2002,Heavy Snow,17093,1,5,3126,41887,top10,18
2002,High Wind,17093,1,5,3228,44090,top10,18
2002,Drought,17093,2,26,1978,37442,top10,18
2002,Winter Storm,17093,1,12,3376,47751,top10,18
2007,Thunderstorm Wind,17093,8,92,13015,216417,top2,30
2007,Drought,17093,2,26,3616,37442,top10,30
2007,Frost/Freeze,17093,7,23,1851,7678,top20,30
2007,Dense Fog,17093,5,39,776,7754,top20,30
2007,Heat,17093,2,30,464,15700,top20,30
2007,Flood,17093,5,45,1804,32593,top10,30
2007,Winter Weather,17093,1,22,3354,26322,top10,30
2012,Thunderstorm Wind,17093,5,92,16238,216417,top2,33
2012,Drought,17093,8,26,7883,37442,top10,33
2012,Strong Wind,17093,1,15,1071,14023,top20,33
2012,Dense Fog,17093,9,39,978,7754,top20,33
2012,Heat,17093,3,30,1632,15700,top20,33
2012,Winter Storm,17093,1,12,1809,47751,top10,33
2012,Excessive Heat,17093,1,6,1156,5597,top30,33
2012,Winter Weather,17093,2,22,2802,26322,top10,33
2012,Hail,17093,1,34,13385,209891,top2,33
2012,Frost/Freeze,17093,1,23,1006,7678,top20,33
2012,Flash Flood,17093,1,9,2304,52939,top10,33
1997,Cold/Wind Chill,17094,1,3,1579,7587,top20,13
1997,Flood,17094,4,32,1946,32593,top10,13
1997,Frost/Freeze,17094,1,22,159,7678,top20,13
1997,Heat,17094,2,29,739,15700,top20,13
1997,Winter Storm,17094,1,12,3008,47751,top10,13
1997,Dense Fog,17094,2,34,307,7754,top20,13
1997,Ice Storm,17094,1,4,668,8380,top20,13
1997,High Wind,17094,1,7,2415,44090,top10,13
2002,Flood,17094,5,32,1773,32593,top10,11
2002,Heavy Snow,17094,1,5,3126,41887,top10,11
2002,Drought,17094,2,26,1978,37442,top10,11
2002,Heat,17094,1,29,1315,15700,top20,11
2002,Winter Storm,17094,1,12,3376,47751,top10,11
2002,High Wind,17094,1,7,3228,44090,top10,11
2007,Frost/Freeze,17094,7,22,1851,7678,top20,17
2007,Dense Fog,17094,5,34,776,7754,top20,17
2007,Heat,17094,2,29,464,15700,top20,17
2007,Drought,17094,2,26,3616,37442,top10,17
2007,Winter Weather,17094,1,21,3354,26322,top10,17
2012,Drought,17094,8,26,7883,37442,top10,24
2012,Dense Fog,17094,7,34,978,7754,top20,24
2012,Heat,17094,3,29,1632,15700,top20,24
2012,Winter Storm,17094,1,12,1809,47751,top10,24
2012,Excessive Heat,17094,1,6,1156,5597,top30,24
2012,Winter Weather,17094,2,21,2802,26322,top10,24
2012,High Wind,17094,1,7,3764,44090,top10,24
2012,Frost/Freeze,17094,1,22,1006,7678,top20,24
1997,Thunderstorm Wind,17095,6,95,9868,216417,top2,18
1997,Winter Storm,17095,5,22,3008,47751,top10,18
1997,Tornado,17095,3,11,1180,22750,top10,18
1997,Hail,17095,2,51,8612,209891,top2,18
1997,High Wind,17095,2,6,2415,44090,top10,18
2002,Winter Storm,17095,1,22,3376,47751,top10,12
2002,High Wind,17095,1,6,3228,44090,top10,12
2002,Flood,17095,2,9,1773,32593,top10,12
2002,Heat,17095,2,18,1315,15700,top20,12
2002,Flash Flood,17095,4,19,3234,52939,top10,12
2002,Ice Storm,17095,1,6,565,8380,top20,12
2002,Thunderstorm Wind,17095,1,95,12004,216417,top2,12
2007,Heavy Snow,17095,1,4,2609,41887,top10,14
2007,Frost/Freeze,17095,1,1,1851,7678,top20,14
2007,Winter Weather,17095,2,3,3354,26322,top10,14
2007,Excessive Heat,17095,1,15,488,5597,top30,14
2007,Thunderstorm Wind,17095,6,95,13015,216417,top2,14
2007,Ice Storm,17095,2,6,1071,8380,top20,14
2007,Hail,17095,1,51,12711,209891,top2,14
2012,Excessive Heat,17095,4,15,1156,5597,top30,15
2012,Hail,17095,6,51,13385,209891,top2,15
2012,Thunderstorm Wind,17095,2,95,16238,216417,top2,15
2012,Drought,17095,3,6,7883,37442,top10,15
1997,Winter Storm,17096,5,21,3008,47751,top10,7
1997,High Wind,17096,2,5,2415,44090,top10,7
2002,Ice Storm,17096,1,6,565,8380,top20,6
2002,Heat,17096,2,17,1315,15700,top20,6
2002,Flood,17096,2,2,1773,32593,top10,6
2002,High Wind,17096,1,5,3228,44090,top10,6
2007,Heavy Snow,17096,2,3,2609,41887,top10,8
2007,Winter Weather,17096,2,3,3354,26322,top10,8
2007,Ice Storm,17096,2,6,1071,8380,top20,8
2007,Frost/Freeze,17096,1,1,1851,7678,top20,8
2007,Excessive Heat,17096,1,15,488,5597,top30,8
2012,Excessive Heat,17096,4,15,1156,5597,top30,6
2012,Drought,17096,2,5,7883,37442,top10,6
1997,High Wind,17097,2,6,2415,44090,top10,11
1997,Tornado,17097,1,2,1180,22750,top10,11
1997,Winter Storm,17097,4,20,3008,47751,top10,11
1997,Thunderstorm Wind,17097,4,108,9868,216417,top2,11
2002,Winter Storm,17097,2,20,3376,47751,top10,16
2002,Flood,17097,4,18,1773,32593,top10,16
2002,Tornado,17097,1,2,1040,22750,top10,16
2002,High Wind,17097,2,6,3228,44090,top10,16
2002,Lightning,17097,1,20,875,12849,top20,16
2002,Hail,17097,1,77,12540,209891,top2,16
2002,Thunderstorm Wind,17097,2,108,12004,216417,top2,16
2002,Heat,17097,2,17,1315,15700,top20,16
2002,Flash Flood,17097,1,16,3234,52939,top10,16
2007,Frost/Freeze,17097,1,1,1851,7678,top20,32
2007,Flood,17097,3,18,1804,32593,top10,32
2007,Excessive Heat,17097,1,16,488,5597,top30,32
2007,Flash Flood,17097,3,16,3688,52939,top10,32
2007,Thunderstorm Wind,17097,16,108,13015,216417,top2,32
2007,Winter Weather,17097,1,2,3354,26322,top10,32
2007,Heavy Snow,17097,2,4,2609,41887,top10,32
2007,Hail,17097,3,77,12711,209891,top2,32
2007,Ice Storm,17097,2,4,1071,8380,top20,32
2012,Excessive Heat,17097,4,16,1156,5597,top30,9
2012,Drought,17097,3,6,7883,37442,top10,9
2012,Flood,17097,1,18,992,32593,top10,9
2012,Hail,17097,1,77,13385,209891,top2,9
1997,Winter Storm,17098,3,20,3008,47751,top10,4
1997,High Wind,17098,1,4,2415,44090,top10,4
2002,Winter Storm,17098,3,20,3376,47751,top10,11
2002,High Wind,17098,1,4,3228,44090,top10,11
2002,Heat,17098,4,21,1315,15700,top20,11
2002,Flood,17098,3,6,1773,32593,top10,11
2007,Excessive Heat,17098,1,14,488,5597,top30,6
2007,Ice Storm,17098,2,3,1071,8380,top20,6
2007,Frost/Freeze,17098,1,1,1851,7678,top20,6
2007,Winter Weather,17098,1,3,3354,26322,top10,6
2007,Heavy Snow,17098,1,5,2609,41887,top10,6
2012,Drought,17098,3,6,7883,37442,top10,7
2012,Excessive Heat,17098,4,14,1156,5597,top30,7
1997,Thunderstorm Wind,17099,9,170,9868,216417,top2,15
1997,Winter Storm,17099,3,21,3008,47751,top10,15
1997,High Wind,17099,1,4,2415,44090,top10,15
1997,Hail,17099,1,91,8612,209891,top2,15
1997,Tornado,17099,1,13,1180,22750,top10,15
2002,Thunderstorm Wind,17099,2,170,12004,216417,top2,17
2002,Funnel Cloud,17099,1,5,235,6056,top30,17
2002,Winter Storm,17099,3,21,3376,47751,top10,17
2002,Heat,17099,4,21,1315,15700,top20,17
2002,Flood,17099,5,34,1773,32593,top10,17
2002,Flash Flood,17099,1,22,3234,52939,top10,17
2002,High Wind,17099,1,4,3228,44090,top10,17
2007,Thunderstorm Wind,17099,21,170,13015,216417,top2,39
2007,Lightning,17099,2,14,721,12849,top20,39
2007,Flood,17099,5,34,1804,32593,top10,39
2007,Ice Storm,17099,2,3,1071,8380,top20,39
2007,Flash Flood,17099,2,22,3688,52939,top10,39
2007,Heavy Snow,17099,2,7,2609,41887,top10,39
2007,Winter Weather,17099,1,3,3354,26322,top10,39
2007,Frost/Freeze,17099,1,1,1851,7678,top20,39
2007,Hail,17099,2,91,12711,209891,top2,39
2007,Excessive Heat,17099,1,14,488,5597,top30,39
2012,Thunderstorm Wind,17099,3,170,16238,216417,top2,18
2012,Excessive Heat,17099,4,14,1156,5597,top30,18
2012,Drought,17099,3,6,7883,37442,top10,18
2012,Flash Flood,17099,1,22,2304,52939,top10,18
2012,Hail,17099,6,91,13385,209891,top2,18
2012,Flood,17099,1,34,992,32593,top10,18
1997,Winter Storm,17100,3,24,3008,47751,top10,4
1997,High Wind,17100,1,4,2415,44090,top10,4
2002,Heat,17100,4,28,1315,15700,top20,10
2002,High Wind,17100,1,4,3228,44090,top10,10
2002,Winter Storm,17100,4,24,3376,47751,top10,10
2002,Flood,17100,1,3,1773,32593,top10,10
2007,Frost/Freeze,17100,1,1,1851,7678,top20,5
2007,Excessive Heat,17100,1,20,488,5597,top30,5
2007,Ice Storm,17100,1,2,1071,8380,top20,5
2007,Winter Weather,17100,1,3,3354,26322,top10,5
2007,Heavy Snow,17100,1,6,2609,41887,top10,5
2012,Excessive Heat,17100,6,20,1156,5597,top30,9
2012,Drought,17100,3,4,7883,37442,top10,9
1997,Thunderstorm Wind,17101,1,72,9868,216417,top2,5
1997,Winter Storm,17101,3,22,3008,47751,top10,5
1997,High Wind,17101,1,4,2415,44090,top10,5
2002,Flood,17101,3,7,1773,32593,top10,16
2002,Heat,17101,4,29,1315,15700,top20,16
2002,Thunderstorm Wind,17101,3,72,12004,216417,top2,16
2002,Winter Storm,17101,3,22,3376,47751,top10,16
2002,Hail,17101,2,44,12540,209891,top2,16
2002,High Wind,17101,1,4,3228,44090,top10,16
2007,Hail,17101,5,44,12711,209891,top2,13
2007,Frost/Freeze,17101,1,1,1851,7678,top20,13
2007,Thunderstorm Wind,17101,3,72,13015,216417,top2,13
2007,Winter Weather,17101,1,3,3354,26322,top10,13
2007,Excessive Heat,17101,1,20,488,5597,top30,13
2007,Ice Storm,17101,1,2,1071,8380,top20,13
2007,Heavy Snow,17101,1,5,2609,41887,top10,13
2012,Excessive Heat,17101,6,20,1156,5597,top30,20
2012,Thunderstorm Wind,17101,7,72,16238,216417,top2,20
2012,Drought,17101,3,4,7883,37442,top10,20
2012,Hail,17101,4,44,13385,209891,top2,20
1997,Winter Storm,17102,3,20,3008,47751,top10,4
1997,High Wind,17102,1,4,2415,44090,top10,4
2002,Winter Storm,17102,3,20,3376,47751,top10,11
2002,Heat,17102,4,25,1315,15700,top20,11
2002,High Wind,17102,1,4,3228,44090,top10,11
2002,Flood,17102,3,5,1773,32593,top10,11
2007,Frost/Freeze,17102,1,1,1851,7678,top20,5
2007,Winter Weather,17102,1,3,3354,26322,top10,5
2007,Heavy Snow,17102,1,5,2609,41887,top10,5
2007,Excessive Heat,17102,1,18,488,5597,top30,5
2007,Ice Storm,17102,1,2,1071,8380,top20,5
2012,Excessive Heat,17102,6,18,1156,5597,top30,9
2012,Drought,17102,3,4,7883,37442,top10,9
1997,Thunderstorm Wind,17103,1,86,9868,216417,top2,2
1997,Hail,17103,1,51,8612,209891,top2,2
2002,Thunderstorm Wind,17103,1,86,12004,216417,top2,3
2002,Flash Flood,17103,1,9,3234,52939,top10,3
2002,Hail,17103,1,51,12540,209891,top2,3
2007,Thunderstorm Wind,17103,10,86,13015,216417,top2,15
2007,Hail,17103,2,51,12711,209891,top2,15
2007,Flood,17103,1,4,1804,32593,top10,15
2007,Flash Flood,17103,2,9,3688,52939,top10,15
2012,Hail,17103,2,51,13385,209891,top2,5
2012,Thunderstorm Wind,17103,3,86,16238,216417,top2,5
1997,Thunderstorm Wind,17105,3,65,9868,216417,top2,3
2002,Tornado,17105,2,23,1040,22750,top10,5
2002,Flood,17105,1,13,1773,32593,top10,5
2002,Thunderstorm Wind,17105,1,65,12004,216417,top2,5
2002,Flash Flood,17105,1,9,3234,52939,top10,5
2007,Flood,17105,3,13,1804,32593,top10,7
2007,Flash Flood,17105,3,9,3688,52939,top10,7
2007,Thunderstorm Wind,17105,1,65,13015,216417,top2,7
2012,Hail,17105,8,47,13385,209891,top2,13
2012,Thunderstorm Wind,17105,5,65,16238,216417,top2,13
1997,Hail,17107,3,81,8612,209891,top2,8
1997,Thunderstorm Wind,17107,5,126,9868,216417,top2,8
2002,Flash Flood,17107,6,26,3234,52939,top10,8
2002,Thunderstorm Wind,17107,2,126,12004,216417,top2,8
2007,Thunderstorm Wind,17107,1,126,13015,216417,top2,2
2007,Tornado,17107,1,37,1238,22750,top10,2
2012,Hail,17107,3,81,13385,209891,top2,10
2012,Thunderstorm Wind,17107,6,126,16238,216417,top2,10
2012,Lightning,17107,1,1,591,12849,top20,10
1997,Tornado,17109,3,9,1180,22750,top10,7
1997,Flash Flood,17109,1,24,3027,52939,top10,7
1997,Thunderstorm Wind,17109,3,107,9868,216417,top2,7
2002,Flash Flood,17109,6,24,3234,52939,top10,11
2002,Thunderstorm Wind,17109,2,107,12004,216417,top2,11
2002,Hail,17109,3,75,12540,209891,top2,11
2007,Hail,17109,10,75,12711,209891,top2,16
2007,Flash Flood,17109,5,24,3688,52939,top10,16
2007,Thunderstorm Wind,17109,1,107,13015,216417,top2,16
2012,Hail,17109,5,75,13385,209891,top2,7
2012,Thunderstorm Wind,17109,2,107,16238,216417,top2,7
1997,Thunderstorm Wind,17111,4,122,9868,216417,top2,5
1997,Hail,17111,1,98,8612,209891,top2,5
2002,Flash Flood,17111,1,7,3234,52939,top10,2
2002,Flood,17111,1,8,1773,32593,top10,2
2007,Thunderstorm Wind,17111,17,122,13015,216417,top2,26
2007,Flood,17111,2,8,1804,32593,top10,26
2007,Heavy Rain,17111,1,1,874,13299,top20,26
2007,Lightning,17111,2,17,721,12849,top20,26
2007,Flash Flood,17111,3,7,3688,52939,top10,26
2007,Hail,17111,1,98,12711,209891,top2,26
2012,Hail,17111,11,98,13385,209891,top2,21
2012,Flood,17111,1,8,992,32593,top10,21
2012,Thunderstorm Wind,17111,8,122,16238,216417,top2,21
2012,Lightning,17111,1,17,591,12849,top20,21
1997,Hail,17113,1,115,8612,209891,top2,7
1997,Thunderstorm Wind,17113,5,120,9868,216417,top2,7
1997,Tornado,17113,1,31,1180,22750,top10,7
2002,Hail,17113,4,115,12540,209891,top2,8
2002,Thunderstorm Wind,17113,1,120,12004,216417,top2,8
2002,Flash Flood,17113,2,13,3234,52939,top10,8
2002,Tornado,17113,1,31,1040,22750,top10,8
2007,Tornado,17113,1,31,1238,22750,top10,11
2007,Hail,17113,4,115,12711,209891,top2,11
2007,Thunderstorm Wind,17113,6,120,13015,216417,top2,11
2012,Hail,17113,4,115,13385,209891,top2,7
2012,Thunderstorm Wind,17113,3,120,16238,216417,top2,7
1997,Hail,17115,2,66,8612,209891,top2,8
1997,Tornado,17115,2,24,1180,22750,top10,8
1997,Flash Flood,17115,1,22,3027,52939,top10,8
1997,Thunderstorm Wind,17115,3,81,9868,216417,top2,8
2002,Thunderstorm Wind,17115,3,81,12004,216417,top2,7
2002,Hail,17115,2,66,12540,209891,top2,7
2002,Flash Flood,17115,2,22,3234,52939,top10,7
2007,Hail,17115,6,66,12711,209891,top2,11
2007,Thunderstorm Wind,17115,3,81,13015,216417,top2,11
2007,Tornado,17115,1,24,1238,22750,top10,11
2007,Flash Flood,17115,1,22,3688,52939,top10,11
1997,Hail,17117,3,168,8612,209891,top2,4
1997,Thunderstorm Wind,17117,1,106,9868,216417,top2,4
2002,Tornado,17117,1,21,1040,22750,top10,30
2002,Thunderstorm Wind,17117,6,106,12004,216417,top2,30
2002,Hail,17117,20,168,12540,209891,top2,30
2002,Flash Flood,17117,3,20,3234,52939,top10,30
2007,Hail,17117,2,168,12711,209891,top2,7
2007,Thunderstorm Wind,17117,2,106,13015,216417,top2,7
2007,Flash Flood,17117,1,20,3688,52939,top10,7
2007,Tornado,17117,2,21,1238,22750,top10,7
2012,Hail,17117,9,168,13385,209891,top2,12
2012,Thunderstorm Wind,17117,3,106,16238,216417,top2,12
1997,Hail,17119,5,186,8612,209891,top2,6
1997,Thunderstorm Wind,17119,1,194,9868,216417,top2,6
2002,Thunderstorm Wind,17119,11,194,12004,216417,top2,14
2002,Flash Flood,17119,1,17,3234,52939,top10,14
2002,Hail,17119,2,186,12540,209891,top2,14
2007,Hail,17119,17,186,12711,209891,top2,25
2007,Tornado,17119,1,24,1238,22750,top10,25
2007,Flash Flood,17119,1,17,3688,52939,top10,25
2007,Thunderstorm Wind,17119,6,194,13015,216417,top2,25
2012,Hail,17119,26,186,13385,209891,top2,28
2012,Tornado,17119,1,24,1057,22750,top10,28
2012,Thunderstorm Wind,17119,1,194,16238,216417,top2,28
1997,Hail,17121,2,59,8612,209891,top2,3
1997,Thunderstorm Wind,17121,1,93,9868,216417,top2,3
2002,Tornado,17121,4,14,1040,22750,top10,12
2002,Flash Flood,17121,1,18,3234,52939,top10,12
2002,Thunderstorm Wind,17121,5,93,12004,216417,top2,12
2002,Hail,17121,2,59,12540,209891,top2,12
2007,Hail,17121,6,59,12711,209891,top2,7
2007,Thunderstorm Wind,17121,1,93,13015,216417,top2,7
2012,Hail,17121,13,59,13385,209891,top2,16
2012,Thunderstorm Wind,17121,2,93,16238,216417,top2,16
2012,Tornado,17121,1,14,1057,22750,top10,16
