fips,year,s02
5039,2002,2.3599098
5039,2007,3.0020833
5039,2012,1.6004796
5041,1997,3.1951663
5041,2002,2.5410872
5041,2007,3.3855102
5041,2012,1.667098
5043,1997,3.303134
5043,2002,2.4000244
5043,2007,3.2829332
5043,2012,1.6807684
5045,1997,3.1427224
5045,2002,2.7951636
5045,2007,3.0109279
5045,2012,1.79597
5047,1997,3.5492504
5047,2002,2.3814971
5047,2007,2.5343847
5047,2012,1.5472523
5049,1997,5.0853243
5049,2002,3.5032191
5049,2007,3.1751032
5049,2012,2.3329797
5051,1997,3.4465466
5051,2002,2.5665929
5051,2007,2.879638
5051,2012,1.6580442
5053,1997,3.0920305
5053,2002,2.4321995
5053,2007,2.8415213
5053,2012,1.7224153
5055,1997,4.8857708
5055,2002,3.7502112
5055,2007,3.3567691
5055,2012,2.2188978
5057,1997,3.1631408
5057,2002,1.646759
5057,2007,2.9020693
5057,2012,1.3983305
5059,1997,3.1371918
5059,2002,2.4482961
5059,2007,3.0052488
5059,2012,1.7632191
5061,1997,3.7315879
5061,2002,2.1319547
5061,2007,2.7628534
5061,2012,1.2939019
5063,1997,3.9341824
5063,2002,3.2065229
5063,2007,3.0987272
5063,2012,2.2497191
5065,1997,4.4047923
5065,2002,3.3549814
5065,2007,3.0825281
5065,2012,2.3364949
5067,1997,3.8966846
5067,2002,3.4201944
5067,2007,3.3388157
5067,2012,2.2181756
5069,1997,3.1407669
5069,2002,2.592068
5069,2007,3.3353207
5069,2012,1.5753284
5071,1997,3.5265119
5071,2002,2.5868731
5071,2007,2.6697788
5071,2012,1.6994472
5073,1997,3.3245597
5073,2002,1.4854963
5073,2007,2.5258424
5073,2012,1.4173447
5075,1997,4.7162566
5075,2002,3.6069453
5075,2007,3.2003472
5075,2012,2.338073
5077,1997,3.729809
5077,2002,3.4525268
5077,2007,3.762151
5077,2012,1.7093554
5079,1997,3.2179699
5079,2002,2.5563822
5079,2007,3.3541451
5079,2012,1.6706067
5081,1997,3.5655806
5081,2002,1.8771319
5081,2007,2.5254002
5081,2012,1.1443651
5083,1997,3.3506708
5083,2002,2.4260659
5083,2007,2.6267197
5083,2012,1.5708084
5085,1997,2.9950194
5085,2002,2.6979547
5085,2007,2.9224005
5085,2012,1.7087857
5087,1997,3.6449113
5087,2002,2.6146095
5087,2007,2.3723834
5087,2012,1.6967461
5089,1997,3.7745647
5089,2002,2.9813988
5089,2007,2.7570653
5089,2012,2.2302432
5091,1997,2.951062
5091,2002,1.4532845
5091,2007,2.2042844
5091,2012,1.1723919
5093,1997,4.7922316
5093,2002,3.8352239
5093,2007,3.6665537
5093,2012,2.1013741
5095,1997,3.6269541
5095,2002,3.3065567
5095,2007,3.3928778
5095,2012,1.7842678
5097,1997,3.4202971
5097,2002,2.3121579
5097,2007,2.6826496
5097,2012,1.6005553
5099,1997,3.3535237
5099,2002,1.7103937
5099,2007,2.5219281
5099,2012,1.4839765
5101,1997,3.7281172
5101,2002,2.8672192
5101,2007,2.5711794
5101,2012,1.7569251
5103,1997,3.914078
5103,2002,2.1697204
5103,2007,3.0439217
5103,2012,1.6327926
5105,1997,3.3172324
5105,2002,2.5938659
5105,2007,2.874748
5105,2012,1.6682786
5107,1997,3.397157
5107,2002,3.0650072
5107,2007,3.6905627
5107,2012,1.6976629
5109,1997,3.7216849
5109,2002,2.1568244
5109,2007,2.8015196
5109,2012,1.3268235
5111,1997,3.9388924
5111,2002,3.5898321
5111,2007,3.5674787
5111,2012,2.2053978
5113,1997,3.4978526
5113,2002,2.215049
5113,2007,2.5360165
5113,2012,1.4022202
5115,1997,3.5249443
5115,2002,2.8376074
5115,2007,2.7890282
5115,2012,1.7300394
5117,1997,3.3902445
5117,2002,3.1607761
5117,2007,3.0896549
5117,2012,1.8163546
5119,1997,2.5789261
5119,2002,2.5451865
5119,2007,3.1571448
5119,2012,1.5585525
5121,1997,5.0067668
5121,2002,3.7822504
5121,2007,3.3176007
5121,2012,2.3288498
5123,1997,3.8013675
5123,2002,3.4554269
5123,2007,3.8196609
5123,2012,1.7455597
5125,1997,2.9684007
5125,2002,2.4987171
5125,2007,3.0359952
5125,2012,1.7175447
5127,1997,3.4252698
5127,2002,2.4432688
5127,2007,2.6110969
5127,2012,1.4527128
5129,1997,3.7633951
5129,2002,2.9841557
5129,2007,2.6129737
5129,2012,1.7863086
5131,1997,3.5047109
5131,2002,2.3228226
5131,2007,2.4420009
5131,2012,1.396471
5133,1997,3.6372626
5133,2002,1.9541187
5133,2007,2.5573258
5133,2012,1.1432176
5135,1997,4.8619404
5135,2002,3.4526968
5135,2007,3.0067997
5135,2012,2.2956867
5137,1997,3.6784558
5137,2002,3.1548152
5137,2007,3.232126
5137,2012,2.4243433
5139,1997,4.7760253
5139,2002,2.4964967
5139,2007,3.1573813
5139,2012,1.8107096
5141,1997,3.426631
5141,2002,3.0312531
5141,2007,2.9248617
5141,2012,1.9181005
5143,1997,3.45436
5143,2002,2.2710404
5143,2007,2.462837
5143,2012,1.4478337
5145,1997,3.4555473
5145,2002,3.1359601
5145,2007,2.8702667
5145,2012,1.8839831
5147,1997,3.6096945
5147,2002,3.2723644
5147,2007,3.0808041
5147,2012,1.8356048
5149,1997,3.4461818
5149,2002,2.5630159
5149,2007,2.8114328
5149,2012,1.6467932
6001,1997,1.868425
6001,2002,1.5686409
6001,2007,1.2107011
6001,2012,.78695536
6003,1997,1.8108882
6003,2002,1.5534581
6003,2007,1.1128503
6003,2012,.71077007
6005,1997,1.8280288
6005,2002,1.5449454
6005,2007,1.0961919
6005,2012,.72912276
6007,1997,1.8476578
6007,2002,1.5394686
6007,2007,1.1005138
6007,2012,.65708691
6009,1997,1.8306626
6009,2002,1.5726931
6009,2007,1.1233286
6009,2012,.73538262
6011,1997,1.8691108
6011,2002,1.544492
6011,2007,1.123096
6011,2012,.70014983
6013,1997,1.8128603
6013,2002,1.3711889
6013,2007,1.0927864
6013,2012,.63633657
6015,2007,.43343869
6015,2012,-.13370205
6017,1997,1.8099934
6017,2002,1.5300161
6017,2007,1.0843742
6017,2012,.71813458
6019,1997,1.1585042
6019,2002,1.4170173
6019,2007,.81612992
6019,2012,.76092416
6021,1997,1.8652369
6021,2002,1.5471951
6021,2007,1.1141318
6021,2012,.65525573
6023,1997,.83798105
6023,2002,1.499625
6023,2007,.47563276
6023,2012,-.13078937
